,data,precalculated,result
497,1225.0,1240.0,1240.3763938973696
498,1250.0,1246.0,1245.5589943987898
499,1243.0,1251.0,1250.5134004875636
500,1250.0,1256.0,1255.5176171622188
501,1245.0,1260.0,1260.334580132485
502,1255.0,1265.0,1265.2616226221328
503,1257.0,1270.0,1270.139935597678
504,1275.0,1275.0,1275.2852181805908
505,1280.0,1280.0,1280.4385907776136
506,1277.0,1285.0,1285.4422087330008
507,1291.0,1291.0,1290.6324450130162
508,1293.0,1296.0,1295.7709008359682
509,1292.0,1301.0,1300.7988495725679
510,1304.0,1306.0,1305.9734580626823
511,1302.0,1311.0,1311.017303157903
512,1304.0,1316.0,1316.010383485581
513,1320.0,1321.0,1321.2290030561503
514,1320.0,1326.0,1326.3555606699542
515,1334.0,1332.0,1331.6667479433297
516,1331.0,1337.0,1336.8256440111275
517,1337.0,1342.0,1342.010985143897
518,1344.0,1347.0,1347.2421223396698
519,1353.0,1353.0,1352.5579233787375
520,1361.0,1358.0,1357.9377516099976
521,1366.0,1363.0,1363.3217499046707
522,1360.0,1369.0,1368.4929820344842
523,1363.0,1374.0,1373.6307738161713
524,1376.0,1379.0,1378.932430889418
525,1378.0,1384.0,1384.1794859930726
526,1386.0,1390.0,1389.490611209559
527,1387.0,1395.0,1394.7271330121862
528,1396.0,1400.0,1400.0473342223368
529,1390.0,1405.0,1405.1546950388752
530,1400.0,1410.0,1410.366506147057
531,1400.0,1416.0,1415.4845960411199
532,1415.0,1421.0,1420.8053984426301
533,1422.0,1426.0,1426.169198182385
534,1424.0,1432.0,1431.4769409375376
535,1432.0,1437.0,1436.847315318668
536,1440.0,1442.0,1442.2796149398812
537,1435.0,1448.0,1447.5169408813827
538,1442.0,1453.0,1452.7975768461765
539,1459.0,1458.0,1458.3180873670601
540,1463.0,1464.0,1463.819849020542
541,1468.0,1469.0,1469.322640387336
542,1474.0,1475.0,1474.84605002579
543,1467.0,1480.0,1480.1335750139544
544,1486.0,1486.0,1485.6997964988489
545,1476.0,1491.0,1490.9704011134086
546,1495.0,1497.0,1496.5196721541733
547,1506.0,1502.0,1502.187152118175
548,1493.0,1508.0,1507.4986066806491
549,1507.0,1513.0,1512.98948695122
550,1513.0,1519.0,1518.50030279192
551,1526.0,1524.0,1524.1687117526171
552,1530.0,1530.0,1529.8157115730075
553,1520.0,1535.0,1535.1654958587822
554,1526.0,1541.0,1540.5361693825362
555,1538.0,1546.0,1546.0456913163887
556,1542.0,1552.0,1551.5349674599534
557,1543.0,1557.0,1556.9449791390832
558,1559.0,1563.0,1562.5720164936565
559,1570.0,1568.0,1568.315342974686
560,1569.0,1574.0,1573.9372337445352
561,1567.0,1579.0,1579.4190524764456
562,1584.0,1585.0,1585.1365022644984
563,1585.0,1591.0,1590.7718824838782
564,1587.0,1596.0,1596.3455926936986
565,1590.0,1602.0,1601.877842611618
566,1594.0,1607.0,1607.3886518559093
567,1616.0,1613.0,1613.2328725163222
568,1621.0,1619.0,1619.0721445026404
569,1628.0,1625.0,1624.9458142482458
570,1622.0,1631.0,1630.5972375495028
571,1628.0,1636.0,1636.2649526936968
572,1628.0,1642.0,1641.830463601654
573,1636.0,1647.0,1647.4523308864175
574,1640.0,1653.0,1653.051092375838
575,1651.0,1659.0,1658.764836008772
576,1668.0,1665.0,1664.710598331938
577,1666.0,1670.0,1670.5115825608575
578,1674.0,1676.0,1676.3661561517729
579,1681.0,1682.0,1682.25398697518
580,1687.0,1688.0,1688.1549369908291
581,1680.0,1694.0,1693.8125754881762
582,1702.0,1700.0,1699.8006778208123
583,1695.0,1706.0,1705.5444258675363
584,1711.0,1711.0,1711.4993550795211
585,1715.0,1717.0,1717.4268277913932
586,1715.0,1723.0,1723.2481727213487
587,1729.0,1729.0,1729.2402206509178
588,1727.0,1735.0,1735.085895074871
589,1732.0,1741.0,1740.9244642803217
590,1747.0,1747.0,1746.9529751503105
591,1738.0,1753.0,1752.6965064231035
592,1756.0,1759.0,1758.6898237018681
593,1762.0,1765.0,1764.6939204681194
594,1762.0,1771.0,1770.5903418987714
595,1770.0,1777.0,1776.53769089833
596,1774.0,1782.0,1782.4565471628177
597,1775.0,1788.0,1788.287968453051
598,1783.0,1794.0,1794.1706643939042
599,1784.0,1800.0,1799.9660986307235
600,1809.0,1806.0,1806.1480087419857
601,1805.0,1812.0,1812.1410322717654
602,1815.0,1818.0,1818.2227974343934
603,1811.0,1824.0,1824.116438650462
604,1816.0,1830.0,1830.001052239306
605,1823.0,1836.0,1835.916055526017
606,1841.0,1842.0,1842.0778490057842
607,1848.0,1848.0,1848.26715824045
608,1858.0,1855.0,1854.5427273693504
609,1856.0,1861.0,1860.6671155440333
610,1856.0,1867.0,1866.681094006962
611,1875.0,1873.0,1872.9600774349485
612,1881.0,1879.0,1879.2451941371937
613,1883.0,1885.0,1885.457439067485
614,1892.0,1892.0,1891.7353596261726
615,1895.0,1898.0,1897.9599639400833
616,1893.0,1904.0,1904.0331230200181
617,1895.0,1910.0,1910.0350381468952
618,1907.0,1916.0,1916.1633885186063
619,1913.0,1922.0,1922.2986142775937
620,1920.0,1928.0,1928.46026215974
621,1932.0,1935.0,1934.7465180728732
622,1930.0,1941.0,1940.8801674569202
623,1946.0,1947.0,1947.217326351642
624,1946.0,1953.0,1953.4406001639761
625,1958.0,1960.0,1959.7874796751364
626,1954.0,1966.0,1965.94134284085
627,1970.0,1972.0,1972.2981132259401
628,1967.0,1978.0,1978.4812814848108
629,1981.0,1985.0,1984.827460601821
630,1992.0,1991.0,1991.27584859243
631,1991.0,1998.0,1997.5888543068882
632,1992.0,2004.0,2003.8071000611064
633,2010.0,2010.0,2010.266438404291
634,2002.0,2016.0,2016.4520341326715
635,2024.0,2023.0,2022.957670864546
636,2017.0,2029.0,2029.2086256213427
637,2032.0,2036.0,2035.6408338007823
638,2036.0,2042.0,2042.0356566366163
