,data,precalculated,result,Diff
270,364.22,366.096,366.0961552,0.000155209
271,375.305,368.987,368.9869097,9.02897E-05
272,374.962,371.827,371.8267208,0.00027919
273,369.39,374.515,374.5145345,0.000465485
274,382.585,377.416,377.4156833,0.000316741
275,379.579,380.214,380.2137966,0.000203413
276,378.866,382.954,382.9542103,0.000210346
277,388.37,385.836,385.8355919,0.000408108
278,389.344,388.691,388.6910071,7.12775E-06
279,382.595,391.371,391.3707164,0.000283568
280,401.358,394.371,394.371393,0.000393033
281,385.238,397.013,397.0128656,0.00013436
282,399.597,399.89,399.8900354,3.54297E-05
283,394.714,402.627,402.6270464,4.641E-05
284,409.153,405.6,405.600268,0.000268006
285,411.669,408.576,408.5758746,0.000125405
286,406.057,411.396,411.3958762,0.000123813
287,413.285,414.311,414.311008,7.96862E-06
288,415.335,417.22,417.2197003,0.000299726
289,415.069,420.077,420.0769127,8.73218E-05
290,416.552,422.917,422.9170056,5.64351E-06
291,420.157,425.781,425.7812784,0.000278407
292,416.859,428.535,428.5352469,0.000246946
293,436.097,431.618,431.6179003,9.96592E-05
294,431.537,434.563,434.5634458,0.000445817
295,439.164,437.61,437.6099988,1.2116E-06
296,432.046,440.47,440.4697878,0.000212199
297,446.145,443.557,443.5570803,8.02554E-05
298,441.572,446.506,446.5064761,0.000476061
299,453.638,449.643,449.6428394,0.000160627
300,458.078,452.816,452.8159584,4.15654E-05
301,444.851,455.682,455.681586,0.000413954
302,464.843,458.889,458.8889759,2.40779E-05
303,463.898,462.027,462.027329,0.000328982
304,468.513,465.205,465.2054079,0.00040787
305,457.597,468.12,468.1203346,0.000334578
306,464.65,471.124,471.1243558,0.000355794
307,464.762,474.081,474.0813725,0.000372481
308,470.773,477.107,477.1066328,0.000367209
309,473.005,480.126,480.1257912,0.000208771
310,486.911,483.366,483.3662737,0.000273719
311,483.033,486.479,486.4793633,0.000363317
312,483.643,489.554,489.5536013,0.00039873
313,480.44,492.515,492.5149191,8.08894E-05
314,497.658,495.762,495.7624006,0.000400634
315,495.009,498.906,498.9059152,8.47591E-05
316,494.782,501.994,501.9935506,0.000449368
317,507.508,505.278,505.2783706,0.00037059
318,500.543,508.374,508.3743236,0.000323608
319,503.982,511.486,511.4860398,3.9833E-05
320,518.21,514.824,514.8238088,0.000191196
321,517.556,518.095,518.0949948,5.24706E-06
322,514.338,521.25,521.2500553,5.53061E-05
323,517.732,524.419,524.419042,4.19948E-05
324,531.818,527.81,527.8104876,0.000487573
325,527.178,531.057,531.0565545,0.000445456
326,530.427,534.313,534.3125544,0.000445587
327,526.038,537.429,537.4291007,0.000100707
328,534.864,540.666,540.6655576,0.00044236
329,543.709,544.021,544.0210925,9.24612E-05
330,550.313,547.451,547.4507053,0.000294658
331,538.162,550.587,550.5870494,4.94407E-05
332,545.473,553.813,553.8131656,0.000165628
333,562.721,557.322,557.3223941,0.000394097
334,563.116,560.782,560.7824871,0.000487139
335,560.368,564.132,564.1323237,0.000323724
336,558.133,567.383,567.382854,0.000145959
337,565.534,570.723,570.7233856,0.000385576
338,563.077,573.96,573.9601382,0.000138236
339,573.404,577.344,577.344106,0.000105975
340,581.207,580.824,580.8244344,0.000434431
