index,time,accX,accY,accZ,gyroX,gyroY,gyroZ
229,8.957,-0.03,0.017,1.062,4.395,2.563,3.96
230,8.968,-0.052,0.023,1.075,4.15,2.869,3.23
231,8.979,-0.046,-0.006,1.083,4.517,2.319,3.11
232,8.99,-0.049,0.023,1.083,5.127,2.686,3.47
233,9.001,-0.052,0.011,1.086,4.822,2.808,3.78
234,9.012,-0.048,-0.0,1.084,4.15,2.686,3.72
235,9.023,-0.042,0.022,1.089,4.822,2.686,3.6
236,9.034,-0.045,0.025,1.078,4.7,2.747,3.17
237,9.045,-0.031,0.016,1.07,4.333,2.625,3.11
238,9.056,-0.042,0.029,1.078,4.028,2.502,3.11
239,9.067,-0.054,0.02,1.081,4.028,2.502,3.29
240,9.078,-0.037,0.024,1.066,4.15,2.747,3.11
241,9.089,-0.061,0.01,1.085,4.211,2.625,3.6
242,9.1,-0.048,0.004,1.085,4.211,2.258,3.17
243,9.111,-0.048,0.018,1.073,4.15,2.502,3.17
244,9.122,-0.037,0.022,1.083,4.395,2.38,3.05
245,9.133,-0.031,0.024,1.058,3.784,2.502,2.99
246,9.144,-0.04,0.031,1.066,4.211,2.686,3.17
247,9.155,-0.045,0.019,1.068,4.211,2.625,3.17
248,9.166,-0.038,0.021,1.063,4.639,3.113,3.78
249,9.177,-0.047,0.023,1.062,3.967,2.563,2.8
250,9.188,-0.038,0.011,1.093,4.272,2.747,3.9
251,9.199,-0.04,0.028,1.088,3.845,2.991,3.78
252,9.21,-0.044,0.023,1.065,4.517,2.197,3.41
253,9.221,-0.04,0.016,1.084,4.272,2.136,3.54
254,9.232,-0.035,0.031,1.08,3.967,2.686,3.23
255,9.243,-0.045,0.015,1.083,4.028,2.319,3.17
256,9.254,-0.042,0.016,1.073,4.272,2.563,3.47
257,9.265,-0.049,0.028,1.057,4.211,2.869,3.05
258,9.276,-0.029,0.029,1.092,4.456,2.625,3.54
259,9.287,-0.061,0.016,1.093,4.089,2.502,3.66
260,9.298,-0.039,0.028,1.059,4.7,2.502,3.66
261,9.309,-0.03,0.021,1.061,4.395,2.38,2.8
262,9.32,-0.036,0.019,1.074,3.784,2.441,3.41
263,9.331,-0.035,0.022,1.08,3.967,2.686,2.56
264,9.342,-0.039,0.012,1.074,4.089,2.136,3.11
265,9.353,-0.033,0.033,1.058,4.456,2.686,3.17
266,9.364,-0.038,0.001,1.076,4.089,2.93,3.78
267,9.375,-0.059,0.026,1.085,4.089,2.686,3.54
268,9.386,-0.05,0.018,1.06,4.395,3.052,3.47
269,9.397,-0.034,0.015,1.102,4.395,2.991,3.72
270,9.408,-0.045,-0.002,1.09,4.456,2.808,3.47
271,9.419,-0.051,0.019,1.083,3.662,2.686,3.11
272,9.43,-0.033,0.025,1.093,4.211,2.625,2.93
273,9.441,-0.052,0.013,1.084,4.211,2.991,3.6
274,9.452,-0.037,0.025,1.059,3.967,2.502,3.96
275,9.463,-0.047,0.019,1.081,4.333,2.747,3.23
276,9.474,-0.071,0.019,1.065,4.15,2.747,3.47
277,9.485,-0.037,0.029,1.075,4.211,2.563,3.17
278,9.496,-0.043,0.019,1.091,4.578,2.747,3.6
279,9.507,-0.049,0.0,1.076,3.723,2.563,3.23
280,9.518,-0.042,0.009,1.087,4.272,2.869,3.41
281,9.529,-0.06,0.013,1.086,4.272,2.93,3.47
282,9.54,-0.037,0.017,1.097,3.967,2.625,3.11
283,9.551,-0.032,0.03,1.074,4.395,2.441,3.17
284,9.562,-0.029,0.028,1.065,4.272,2.563,3.6
285,9.573,-0.046,0.022,1.062,4.7,2.502,3.54
286,9.584,-0.036,0.021,1.092,4.211,2.625,3.17
287,9.595,-0.046,0.012,1.084,4.272,2.441,3.47
288,9.606,-0.047,0.014,1.083,4.15,2.441,3.17
289,9.617,-0.039,0.021,1.088,4.272,2.686,3.41
290,9.628,-0.045,0.013,1.073,4.272,2.991,3.47
291,9.639,-0.042,0.012,1.08,3.845,2.502,3.35
292,9.65,-0.058,0.02,1.084,3.723,2.563,3.41
293,9.661,-0.052,0.009,1.058,4.578,2.686,3.41
294,9.672,-0.033,0.027,1.068,4.456,2.686,3.35
295,9.683,-0.049,0.017,1.072,4.395,2.747,3.17
296,9.694,-0.054,0.024,1.062,3.723,2.319,3.23
297,9.705,-0.039,0.02,1.075,3.967,2.258,3.47
298,9.716,-0.028,0.018,1.084,4.578,2.747,3.29
299,9.727,-0.043,0.026,1.072,4.822,3.052,3.6
300,9.738,-0.048,0.024,1.093,4.517,2.869,3.54
301,9.749,-0.048,0.014,1.084,4.578,2.563,3.47
302,9.76,-0.052,0.023,1.077,4.456,2.563,2.93
303,9.771,-0.04,0.034,1.083,4.333,2.38,3.11
304,9.782,-0.049,0.026,1.045,4.028,2.747,3.29
305,9.793,-0.049,0.011,1.079,4.15,2.563,3.6
306,9.804,-0.037,0.023,1.097,4.639,2.808,3.23
307,9.815,-0.044,0.017,1.077,4.333,2.075,3.72
308,9.826,-0.043,0.016,1.067,4.089,2.991,3.54
309,9.837,-0.031,0.019,1.073,3.235,2.38,3.05
310,9.848,-0.052,0.019,1.073,4.089,2.625,2.99
311,9.859,-0.046,0.023,1.068,4.211,2.319,3.72
312,9.87,-0.055,0.03,1.072,4.089,2.441,3.41
313,9.881,-0.039,0.027,1.072,3.906,2.319,3.05
314,9.892,-0.043,0.006,1.096,4.211,2.93,3.29
315,9.903,-0.037,0.031,1.098,4.639,2.625,3.41
316,9.914,-0.039,0.013,1.063,4.333,2.625,3.54
317,9.925,-0.023,0.022,1.094,3.967,2.747,3.78
318,9.936,-0.037,0.033,1.092,4.272,2.808,3.54
319,9.947,-0.044,0.01,1.078,4.272,2.625,3.35
320,9.958,-0.054,0.019,1.07,4.761,2.808,3.72
321,9.969,-0.048,0.03,1.066,4.456,2.441,3.11
322,9.98,-0.044,0.022,1.06,4.578,2.625,3.41
323,9.991,-0.042,0.036,1.07,4.456,2.808,3.54
324,10.002,-0.038,0.017,1.068,4.028,2.747,3.47
325,10.013,-0.037,0.019,1.074,4.639,2.93,3.17
326,10.024,-0.041,0.022,1.091,4.15,2.502,3.66
327,10.035,-0.043,0.007,1.076,4.089,2.319,3.54
328,10.046,-0.044,0.021,1.068,4.211,2.38,3.41
329,10.057,-0.038,0.019,1.085,4.517,2.869,3.72
330,10.068,-0.032,0.007,1.06,4.333,2.258,3.23
331,10.079,-0.038,0.034,1.081,4.395,2.38,3.41
332,10.09,-0.038,0.023,1.062,4.15,2.441,3.29
333,10.101,-0.037,0.021,1.055,4.7,2.747,3.72
334,10.112,-0.035,0.024,1.085,3.906,2.563,3.29
335,10.123,-0.06,0.013,1.084,4.578,2.747,3.9
336,10.134,-0.046,0.015,1.082,4.15,2.563,3.29
337,10.145,-0.046,0.008,1.107,4.089,2.869,3.05
338,10.156,-0.053,0.005,1.088,4.028,2.625,3.41
339,10.167,-0.053,0.018,1.089,4.089,2.625,2.93
340,10.178,-0.033,0.028,1.059,4.822,2.441,4.02
341,10.189,-0.04,0.022,1.065,3.906,2.563,3.23
342,10.2,-0.027,0.024,1.074,4.517,2.38,3.54
343,10.211,-0.044,0.013,1.091,4.456,2.441,3.54
344,10.222,-0.033,0.013,1.068,4.028,2.625,3.23
345,10.233,-0.047,0.014,1.086,4.028,2.441,3.35
346,10.244,-0.043,0.014,1.074,3.967,2.625,2.86
347,10.255,-0.032,0.017,1.073,4.028,2.625,3.78
348,10.266,-0.052,0.019,1.074,3.845,2.625,3.35
349,10.277,-0.034,0.023,1.075,4.395,3.357,3.9
350,10.288,-0.052,0.033,1.083,3.967,2.869,2.93
351,10.299,-0.045,0.026,1.087,3.662,2.991,3.84
352,10.31,-0.054,0.019,1.07,4.272,2.075,3.35
353,10.321,-0.05,0.025,1.083,4.211,2.625,3.17
354,10.332,-0.035,0.022,1.091,3.906,2.625,3.35
355,10.343,-0.043,0.016,1.086,3.723,2.747,3.54
356,10.354,-0.054,0.023,1.074,4.028,2.502,3.35
357,10.365,-0.052,0.016,1.092,4.211,2.441,3.35
358,10.376,-0.043,0.022,1.068,4.211,2.747,3.72
359,10.387,-0.045,0.022,1.065,4.089,2.441,3.29
360,10.398,-0.037,0.03,1.063,4.028,2.38,2.99
361,10.409,-0.044,0.017,1.062,4.639,2.93,3.47
362,10.42,-0.043,0.024,1.057,4.272,2.686,3.84
363,10.431,-0.046,0.015,1.083,5.005,2.93,3.6
364,10.442,-0.05,0.017,1.085,4.028,2.625,3.35
365,10.453,-0.044,0.009,1.085,4.456,2.686,3.47
366,10.464,-0.055,0.025,1.082,4.7,2.686,3.54
367,10.475,-0.045,0.01,1.08,4.761,2.747,3.17
368,10.486,-0.052,0.026,1.08,4.333,2.258,3.78
369,10.497,-0.039,0.04,1.05,4.517,2.625,3.54
370,10.508,-0.056,0.01,1.07,4.211,2.38,2.99
371,10.519,-0.048,0.02,1.093,3.845,2.502,3.66
372,10.53,-0.05,0.022,1.065,4.578,2.808,3.54
373,10.541,-0.041,0.025,1.086,4.7,2.502,3.35
374,10.552,-0.045,0.013,1.068,4.7,2.258,3.05
375,10.563,-0.052,0.019,1.079,4.517,2.441,3.11
376,10.574,-0.039,0.023,1.082,4.333,2.502,3.72
377,10.585,-0.046,0.019,1.064,4.822,2.93,3.47
378,10.596,-0.039,0.023,1.084,4.272,2.808,3.35
379,10.607,-0.03,0.035,1.053,3.906,2.563,3.47
380,10.618,-0.037,0.032,1.065,4.395,2.563,3.78
381,10.629,-0.06,0.02,1.067,4.7,2.625,3.29
382,10.64,-0.045,0.021,1.082,4.089,2.686,3.47
383,10.651,-0.039,0.013,1.077,3.54,2.319,3.17
384,10.662,-0.043,0.026,1.07,4.395,2.625,3.72
385,10.673,-0.041,0.026,1.08,3.723,2.38,3.54
386,10.684,-0.044,0.035,1.08,3.967,2.808,3.23
387,10.695,-0.024,0.031,1.073,4.517,3.113,3.9
388,10.706,-0.044,0.033,1.066,4.395,2.747,2.99
389,10.717,-0.049,0.023,1.064,5.005,3.357,3.6
390,10.728,-0.035,0.023,1.078,4.456,3.113,3.47
391,10.739,-0.042,0.027,1.07,4.272,2.563,3.29
392,10.75,-0.051,0.012,1.068,4.272,2.502,3.29
393,10.761,-0.044,0.025,1.076,4.211,2.991,3.47
394,10.772,-0.04,0.03,1.084,4.578,2.686,2.93
395,10.783,-0.036,0.024,1.078,4.028,2.747,3.78
396,10.794,-0.054,0.026,1.078,4.639,2.563,3.47
397,10.805,-0.039,0.016,1.08,4.395,2.747,3.41
398,10.816,-0.053,0.01,1.089,3.723,2.563,3.23
399,10.827,-0.044,0.032,1.08,4.028,2.441,3.29
400,10.838,-0.043,0.027,1.085,4.272,2.502,3.35
401,10.849,-0.047,0.016,1.093,4.517,3.052,3.47
402,10.86,-0.039,0.019,1.076,4.395,2.808,2.99
403,10.871,-0.033,0.019,1.071,4.456,2.808,3.6
404,10.882,-0.039,0.02,1.075,3.418,2.258,3.11
405,10.893,-0.047,0.025,1.061,4.333,2.808,3.41
406,10.904,-0.039,0.025,1.061,3.906,2.869,3.35
407,10.915,-0.046,0.022,1.074,4.272,2.441,3.23
408,10.926,-0.047,0.021,1.066,3.845,2.136,3.17
409,10.937,-0.047,0.022,1.074,3.296,2.991,3.05
410,10.948,-0.038,0.02,1.081,4.883,2.258,3.29
411,10.959,-0.057,0.029,1.079,4.456,3.113,2.99
412,10.97,-0.046,0.0,1.089,4.211,2.747,3.66
413,10.981,-0.058,0.012,1.084,4.272,2.502,3.6
414,10.992,-0.042,0.02,1.088,4.211,2.502,3.17
415,11.003,-0.055,0.025,1.071,4.272,2.136,3.35
416,11.014,-0.04,0.027,1.08,3.662,2.563,3.29
417,11.025,-0.03,0.019,1.068,3.845,2.502,3.17
418,11.036,-0.055,0.017,1.08,4.028,2.38,3.35
419,11.047,-0.046,0.025,1.075,4.456,2.869,3.47
420,11.058,-0.049,0.022,1.081,4.578,2.686,3.23
421,11.069,-0.038,0.014,1.08,4.456,2.991,3.17
422,11.08,-0.055,0.015,1.092,4.089,2.747,3.05
423,11.091,-0.045,0.021,1.072,4.211,2.502,3.29
424,11.102,-0.038,0.023,1.086,4.639,2.991,3.66
425,11.113,-0.039,0.027,1.07,4.7,2.197,3.35
426,11.124,-0.046,0.028,1.066,4.211,2.808,3.41
427,11.135,-0.046,0.024,1.063,4.15,2.563,3.66
428,11.146,-0.036,0.006,1.079,4.272,2.502,3.47
429,11.157,-0.055,0.035,1.066,3.784,2.625,3.54
430,11.168,-0.046,0.018,1.094,3.54,2.625,3.11
431,11.179,-0.047,0.018,1.069,3.662,2.258,2.86
432,11.19,-0.042,0.024,1.094,4.272,2.747,3.29
433,11.201,-0.045,0.021,1.086,4.578,2.441,2.86
434,11.212,-0.028,0.023,1.083,4.028,2.686,3.47
435,11.223,-0.049,0.011,1.08,4.456,2.808,3.47
436,11.234,-0.047,0.027,1.072,4.395,2.93,3.23
437,11.245,-0.051,0.02,1.068,4.089,2.38,3.6
438,11.256,-0.056,0.038,1.078,4.333,2.686,3.66
439,11.267,-0.05,0.018,1.093,3.906,2.93,3.41
440,11.278,-0.043,0.018,1.062,5.066,2.319,3.29
441,11.289,-0.053,0.027,1.08,3.906,2.625,3.6
442,11.3,-0.045,0.023,1.053,4.333,2.869,3.84
443,11.311,-0.042,0.024,1.06,4.333,3.113,3.66
444,11.322,-0.037,0.021,1.059,3.906,2.747,3.66
445,11.333,-0.03,0.017,1.083,3.967,2.686,3.6
446,11.344,-0.055,0.027,1.062,4.333,2.563,3.17
447,11.355,-0.034,0.016,1.076,4.639,3.235,3.41
